Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,N,DegreeOfParallelism,Mean,Error,StdDev,Median,Ratio,RatioSD,Gen0,Completed Work Items,Lock Contentions,Gen1,Gen2,Allocated,Alloc Ratio
Dapper_Unbuffered,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,10000,128,6.603 s,0.0661 s,0.0618 s,6.609 s,1.00,0.01,305000.0000,5510.0000,0.0000,66000.0000,1000.0000,2397.45 MB,0.74
Dapper_QueryUnbuffered,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,10000,128,9.784 s,0.0679 s,0.0635 s,9.787 s,1.47,0.01,342000.0000,5876.0000,0.0000,143000.0000,8000.0000,2599.62 MB,0.80
EfCore,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,10000,256,13.314 s,0.0351 s,0.0328 s,13.321 s,1.00,0.00,840000.0000,67189.0000,5.0000,78000.0000,14000.0000,6518.14 MB,1.00
EfCore_Compiled,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,10000,256,13.237 s,0.0474 s,0.0396 s,13.222 s,0.99,0.00,837000.0000,67179.0000,9.0000,80000.0000,15000.0000,6492.91 MB,1.00
Dapper_Buffered,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,10000,256,16.000 s,0.1560 s,0.1302 s,16.001 s,1.20,0.01,688000.0000,11746.0000,14.0000,686000.0000,55000.0000,5039.66 MB,0.77
Dapper_Unbuffered,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,10000,256,13.153 s,0.1142 s,0.1069 s,13.188 s,0.99,0.01,611000.0000,11287.0000,7.0000,135000.0000,2000.0000,4795.7 MB,0.74
Dapper_QueryUnbuffered,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,10000,256,19.329 s,0.1686 s,0.1577 s,19.317 s,1.45,0.01,682000.0000,12247.0000,0.0000,272000.0000,14000.0000,5197.55 MB,0.80
EfCore,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,10000,512,25.764 s,0.0958 s,0.0849 s,25.768 s,1.00,0.00,1672000.0000,134185.0000,8.0000,155000.0000,20000.0000,13036.51 MB,1.00
EfCore_Compiled,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,10000,512,25.796 s,0.0844 s,0.0705 s,25.795 s,1.00,0.00,1667000.0000,134133.0000,6.0000,156000.0000,21000.0000,12986.11 MB,1.00
Dapper_Buffered,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,10000,512,34.568 s,0.6857 s,1.4006 s,35.104 s,1.34,0.05,1389000.0000,23541.0000,17.0000,1383000.0000,130000.0000,10078.52 MB,0.77
Dapper_Unbuffered,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,10000,512,29.020 s,0.1482 s,0.1386 s,29.033 s,1.13,0.01,1224000.0000,22730.0000,13.0000,262000.0000,6000.0000,9589.84 MB,0.74
Dapper_QueryUnbuffered,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,10000,512,43.262 s,0.1126 s,0.0998 s,43.268 s,1.68,0.01,1378000.0000,24581.0000,4.0000,558000.0000,40000.0000,10397.42 MB,0.80
